Persona,graduated
Cesare_Pozzo,no
Aldo_Preda,no
Carlo_Rognoni,no
Ugo_Sposetti,no
Vincenzo_Squicciarini,no
Leo_Valiani,no
Luigi_Tagliaferri,no
Luigi_Borsari,no
Giuseppe_Togni,no
Giusto_Tolloy,no
Mario_Toros,no
Attilio_Trebbi,no
Gianni_Usvardi,no
Salvatore_Valitutti,no
Alcide_Vecchi,no
Luigi_D'angelo,no
Giorgio_Vestri,no
Vittorio_Vidali,no
Roberto_Cicciomessere,no
Massimo_Abbatangelo,no
Natale_Amodeo,no
Vitale_Artese,no
Paolo_Babbini,no
Antonio_D'auria,no
Giancarlo_Binelli,no
Felice_Borgoglio,no
Silvano_Costi,no
Mario_Dal_Castello,no
Giuseppe_Degennaro,no
Enrico_Ermelli_Cupelli,no
Luciano_Faraguti,no
Luigi_Foti,no
Giorgio_Gangi,no
Andrea_Geremicca,no
Alfonso_Gianni,no
Dino_Madaudo,no
Viller_Manfredini,no
Ugo_Martinat,no
Rino_Serri,no
Alfredo_Erpete,no
Angelo_Pezzana,no
Giulio_Bellini,no
Antonio_Bernardi,no
Luigi_Boggio,no
Luigi_Buccico,no
Vasco_Calonaci,no
Giuseppe_Ceni,no
Giovanni_Cuojati,no
Domenico_De_Simone,no
Riccardo_Di_Corato,no
Arnaldo_Di_Giovanni,no
Orlando_Fabbri,no
Antonio_Falconio,no
Baldassarre_Furnari,no
Giovanni_Gaiti,no
Mario_Giuliano,no
Giuliano_Gradi,no
Michele_Graduata,no
Domenico_Mennitti,no
Giovanni_Motetta,no
Giovanni_Nonne,no
Giovanni_Pellegatta,no
Franco_Proietti,no
Mario_Raffaelli,no
Gianni_Ravaglia,no
Giuseppe_Rubinacci,no
Ermido_Santi,no
Nino_Sospiri,no
Luigi_Silvestro_Anderlini,no
Gianfranco_Tagliabue,no
Ferruccio_De_Michieli_Vitturi,no
Michele_Viscardi,no
Riccardo_Ravagnan,no
Agostino_Novella,no
Novello_Pallanti,no
Renzo_De_Vidovich,no
Paolo_Tringali,no
Renato_Alpini,no
Gianfranco_Astori,no
Michele_Di_Giesi,no
Nedo_Barzanti,no
Mario_Vincenzo_Di_Gioia,no
Gianfrancesco_Borghini,no
Riccardo_Bruzzani,no
Luigi_Bulleri,no
Severino_Lucano_Cannelonga,no
Milziade_Silvio_Caprili,no
Luigi_Castagnola,no
Antonio_Ciancio,no
Sergio_Coloni,no
Giuseppe_Crippa,no
Francesco_De_Carli,no
Marcello_Di_Puccio,no
Renato_Donazzon,no
Franco_Fausti,no
Giovanni_Ferrara,no
Giulio_Ferrarini,no
Carlo_Donat_Cattin,no
Enrico_Menziani,no
Alessio_Pasquini,no
Giuseppe_Pierino,no
Franco_Politano,no
Salvatore_Rindone,no
Francesco_Roccella,no
Angelo_Satanassi,no
Leonardo_Sciascia,no
Giuseppe_Vignola,no
Biagio_Virgili,no
Antonio_Zanforlin,no
Paolo_Zanini,no
Pio_Baldelli,no
Aldo_Gandolfi,no
Luca_Pavolini,no
Livio_Boncompagni,no
Silvio_Antonellis,no
Ercoliano_Monesi,no
Giovanni_Alasia,no
Luigi_Arisio,no
Andrea_Barbato,no
Mario_Birardi,no
Alfio_Brina,no
Paolo_Emilio_Ciofi_Degli_Atti,no
Alfredo_Comis,no
Ferruccio_Danini,no
Sergio_Dardini,no
Mario_Di_Bartolomei,no
Luciano_Falcier,no
Vincenzo_Fanto',no
Costantino_Fittante,no
Roberto_Franchi,no
Elio_Gabbuggiani,no
Isaia_Gasparotto,no
Alessandro_Ghinami,no
Antonino_Mannino,no
Agostino_Marianetti,no
Ettore_Masina,no
Altero_Matteoli,no
Luigi_Durand_De_La_Penne,no
Antonio_Montessoro,no
Giovanni_Negri,no
Dante_Oreste_Orsenigo,no
Ermenegildo_Palmieri,no
Santino_Picchetti,no
Gian_Gaetano_Poli,no
Enzo_Polidori,no
Alberto_Provantini,no
Carmelo_Pujia,no
Giovanni_Battista_Rabino,no
Silvano_Ridi,no
Luciano_Righi,no
Luigi_Rinaldi,no
Rolando_Rocchi,no
Gianni_Wilmer_Ronzani,no
Francesco_Rutelli,no
Francesco_Sama',no
Mauro_Sanguineti,no
Benedetto_Sannella,no
Giulio_Santarelli,no
Massimo_Serafini,no
Francesco_Tempestini,no
Mario_Toma,no
Giuseppe_Torelli,no
Saverio_Zavettieri,no
Mario_Cavagna,no
Giovanni_Battista_Columbu,no
Alberto_Ferrandi,no
Flavio_Albizzati,no
Torquato_Baglioni,no
Giacomo_Bergamonti,no
Giuseppe_Berti,no
Mario_Bettinotti,no
Vincenzo_Cecconi,no
Giuseppe_Chiostergi,no
Antonio_Da_Villa,no
Alberto_De_Martino,no
Giuseppe_Di_Vittorio,no
Luigi_Faccio,no
Vannuccio_Faralli,no
Giuseppe_Gatti,no
Claudio_Donelli,no
Elio_Giovannini,no
Bernardino_Alvaro_Jovannitti,no
Pasquale_Lops,no
Francesco_Dulbecco,no
Enrico_Marrucci,no
Lamberto_Martellotti,no
Luigi_Memmi,no
Valentino_Pasqualin,no
Attilio_Esposto,no
Franco_Evangelisti,no
Guido_Pollice,no
Adelmo_Riccardi,no
Federico_Ricotti,no
Luigi_Sandirocco,no
Ivo_Faenzi,no
Bernardo_Sanlorenzo,no
Edmondo_Sastro,no
Giampaolo_Sodano,no
Girolamo_Federici,no
Eugenio_Sarli,no
Nicola_Manca,no
Roberto_Barontini,no
Vito_Angelini,no
Paolo_Micolini,no
Ettore_Palmiro_Pedroni,no
Attilio_Ferrari,no
Angelo_Tansini,no
Mario_Ferri,no
Nicola_Crapsi,no
Renato_Finelli,no
Augusto_De_Marsanich,no
Celestino_Ferrario,no
Guglielmo_Giannini,no
Giuseppe_Giulietti,no
Pietro_Grammatico,no
Candido_Grassi,no
Giuseppe_Imperiale,no
Marino_Magnani,no
Aurelio_Natoli_Lamantea,no
Umberto_Pistoia,no
Alfredo_Proia,no
Gioacchino_Quarello,no
Giuseppe_Giovanni_Battista_Raimondi,no
Ettore_Santi,no
Albino_Ottavio_Stella,no
Tullio_Tomba,no
Oliviero_Zuccarini,no
Leone_Azzali,no
Gaetano_Barbareschi,no
Ilio_Barontini,no
Roberto_Bencivenga,no
Alberto_Bergamini,no
Aladino_Bibolotti,no
Renato_Bitossi,no
Severino_Bolognesi,no
Ilio_Bosi,no
Emilio_Canevari,no
Giovanni_Ernesto_Caporali,no
Luigi_Carmagnola,no
Gaetano_Chiarini,no
Alfeo_Corassori,no
Luigi_Corazzin,no
Benedetto_Croce,no
Antonino_D'agata,no
Lodovico_D'aragona,no
Abdon_Maltagliati,no
Paolo_De_Michelis,no
Cipriano_Facchinetti,no
Silvio_Fantuzzi,no
Giovanni_Farina,no
Armando_Fedeli,no
Umberto_Fiore,no
Vittorio_Flecchia,no
Galliano_Gervasi,no
Guido_Giacometti,no
Achille_Grandi,no
Ruggero_Grieco,no
Virgilio_Mario_Luisetti,no
Francesco_Mariani,no
Mario_Marina,no
Cesare_Massini,no
Nino_Mazzoni,no
Riccardo_Momigliano,no
Piero_Montagnani_Marelli,no
Antonio_Negro,no
Raffaele_Pastore,no
Giacomo_Pellegrini,no
Pier_Carlo_Restagno,no
Giuseppe_Rossi,no
Giovanni_Roveda,no
Pietro_Secchia,no
Nicola_Siles,no
Velio_Spano,no
Tommaso_Angelo_Tonello,no
Giovanni_Uberti,no
Giuseppe_Vilardi,no
Michelangelo_Agrusti,no
Custode_Fioriello,no
Sergio_Flamigni,no
Michele_Magno,no
Domenico_Marzi,no
Luigi_Masini,no
Mario_Foscarini,no
Enrico_Mattei,no
Lionello_Matteucci,no
Giovanni_Messe,no
Arturo_Michelini,no
Roberto_Mieville,no
Nicola_Musto,no
Edoardo_Origlia,no
Primo_Romolo_Palenzona,no
Enrico_Parri,no
Mario_Roveda,no
Tomaso_Smith,no
Eugenio_Spiazzi,no
Umberto_Tomba,no
Angelo_Visentin,no
Francesco_Froio,no
Giovanni_Furia,no
Carlo_Alberto_Galluzzi,no
Pietro_Gambolato,no
Mario_Garbi,no
Mario_Gargano,no
Eraldo_Gastone,no
Luigi_Baruffi,no
Antonio_Bassolino,no
Willer_Bordon,no
Antonio_Bruno,no
Vincenzo_Ciabarri,no
Massimo_D'alema,no
Stelio_De_Carolis,no
Lino_Osvaldo_Felissari,no
Pietro_Folena,no
Andrea_Sergio_Garavini,no
Luciano_Gelpi,no
Renato_Grilli,no
Felice_Iossa,no
Raniero_Luigi_La_Valle,no
Antonio_Lia,no
Giacomo_Maccheroni,no
Massimo_Massano,no
Ivo_Colle',no
Alessandro_Maran,no
Aldo_Brancher,no
Federico_Bricolo,no
Mauro_Bulgarelli,no
Francesco_Catanoso_Genoese,no
Raffaello_De_Brasi,no
Rodolfo_Gigli,no
Alfiero_Grandi,no
Ugo_Maria_Gianfranco_Grimaldi,no
Giulio_Antonio_La_Starza,no
Luca_Marcora,no
Antonio_Mereu,no
Alfredo_Sandri,no
Cosimo_Giuseppe_Sgobio,no
Antonino_Strano,no
Luca_Bellotti,no
Angelo_Bottino,no
Roberto_Caruso,no
Marco_Filippeschi,no
Alberto_Fluvi,no
Claudio_Franci,no
Franco_Grotto,no
Giovanni_Jacini,no
Andrea_Lulli,no
Graziano_Mazzarello,no
Andrea_Giorgio_Felice_Maria_Orsini,no
Domenico_Pappaterra,no
Ermete_Realacci,no
Giovanni_Giadresco,no
Mario_Giannini,no
Arnaldo_Armani,no
Alfredo_Giovanardi,no
Roberto_Giovannini,no
Giuseppe_Gramegna,no
Massimo_Zunino,no
Giovanni_Carbonella,no
Carmine_Degennaro,no
Arnaldo_Mariotti,no
Franco_Angioni,no
Vittorio_Michele_Craxi,no
Nicolo'_Cristaldi,no
Guido_Crosetto,no
Giuseppe_Fallica,no
Daniele_Galli,no
Riccardo_Milana,no
Antonio_Rugghia,no
Giuseppe_Scalia,no
Ciro_Alfano,no
Enrico_Buemi,no
Antonio_Capuano,no
Mauro_Chianale,no
Osvaldo_Napoli,no
Benedetto_Nicotra,no
Marcello_Taglialatela,no
Emerenzio_Barbieri,no
Giulio_Schmidt,no
Gianfranco_Blasi,no
Giuseppe_Caldarola,no
Giovanni_Lolli,no
Gonario_Nieddu,no
Aldo_Perrotta,no
Salvatore_Adduce,no
Gregorio_Fontana,no
Giorgio_Lainati,no
Marco_Lion,no
Antonio_Potenza,no
Stefano_Saglia,no
Italo_Sandi,no
Marco_Stradiotto,no
Michele_Vianello,no
Alberto_Arrighi,no
Carmelo_Briguglio,no
Agostino_Ghiglia,no
Roberto_Giachetti,no
Donato_Lamorte,no
Fabio_Baratella,no
Mauro_Betta,no
Aleandro_Longhi,no
Giuseppe_Ruvolo,no
Pietro_Cannella,no
Ettore_Rosato,no
Mauro_Maria_Marino,no
Antonello_Giacomelli,no
Silvano_Moffa,no
Luciano_Pettinari,no
Giovanni_Rainisio,no
Paolo_Dalle_Fratte,no
Michele_Pompeo_Meta,no
Mauro_Pili,no
Paolo_Fadda,no
Giacomo_Bezzi,no
Flavio_Pertoldi,no
Augusto_Rocchi,no
Paolo_Grimoldi,no
Pierangelo_Ferrari,no
Andrea_Orlando,no
Romolo_Benvenuto,no
Daniele_Marantelli,no
Oriano_Giovanelli,no
Claudio_Maderloni,no
Ivano_Miglioli,no
Giuliano_Pedulli,no
Sandro_Brandolini,no
Paolo_Monello,no
Paolo_Guzzanti,no
Baldassare_Armato,no
Francesco_Ferrara,no
Angelo_Alessandri,no
Marco_Martinelli,no
Franco_Ceccuzzi,no
Antonio_Razzi,no
Massimo_Romagnoli,no
Franco_Addolorato_Giacinto_Narducci,no
