Persona,legislatura,graduated
Angelo_Gaetano_Cresco,8,no
Angelo_Gaetano_Cresco,9,no
Angelo_Gaetano_Cresco,10,no
Angelo_Gaetano_Cresco,11,no
Marte_Ferrari,7,no
Marte_Ferrari,8,no
Marte_Ferrari,9,no
Marte_Ferrari,10,no
Marte_Ferrari,11,no
Sergio_Ceravolo,5,no
Sergio_Ceravolo,6,no
Sergio_Ceravolo,7,no
Vincenzo_Gatto,3,no
Vincenzo_Gatto,4,no
Vincenzo_Gatto,5,no
Vincenzo_Gatto,7,no
Carlo_Cerri,6,no
Pasquale_Lamorte,7,no
Pasquale_Lamorte,8,no
Pasquale_Lamorte,9,no
Pasquale_Lamorte,10,no
Pasquale_Lamorte,11,no
Lucio_Magri,7,no
Lucio_Magri,8,no
Lucio_Magri,9,no
Lucio_Magri,10,no
Lucio_Magri,11,no
Manfredo_Manfredi,7,no
Manfredo_Manfredi,8,no
Manfredo_Manfredi,9,no
Manfredo_Manfredi,10,no
Manfredo_Manfredi,11,no
Mario_Martinelli,costituente,no
Mario_Martinelli,1,no
Mario_Martinelli,2,no
Mario_Martinelli,3,no
Mario_Martinelli,7,no
Gino_Cesaroni,5,no
Gino_Cesaroni,6,no
Silverio_Corvisieri,7,no
Silverio_Corvisieri,8,no
Silverio_Corvisieri,9,no
Mario_Cravedi,7,no
Mario_Cravedi,8,no
Emo_Danesi,7,no
Emo_Danesi,8,no
Francesco_Da_Prato,7,no
Francesco_Da_Prato,8,no
Mazarino_Marco_De_Petro,7,no
Adolfo_Facchini,7,no
Adolfo_Facchini,8,no
Giovanni_Fantaci,7,no
Guido_Fanti,7,no
Guido_Fanti,8,no
Nevio_Felicetti,7,no
Luciano_Forni,7,no
Salvatore_Forte,7,no
Salvatore_Forte,8,no
Giuseppe_Fortunato,7,no
Hugo_Gamper,7,no
Hugo_Gamper,8,no
Raffaele_Giuseppe_Carmelo_Giura_Longo,7,no
Raffaele_Giuseppe_Carmelo_Giura_Longo,8,no
Lelio_Grassucci,7,no
Lelio_Grassucci,8,no
Lelio_Grassucci,9,no
Gennaro_Guadagno,7,no
Enrico_Gualandi,7,no
Enrico_Gualandi,8,no
Enrico_Gualandi,9,no
Nazzareno_Guasso,7,no
Paolo_Guerrini,7,no
Paolo_Guerrini,9,no
Guido_Ianni,7,no
Guido_Ianni,8,no
Guido_Ianni,9,no
Salvatore_La_Rocca,7,no
Salvatore_La_Rocca,8,no
Pier_Giorgio_Licheri,7,no
Francesco_Lussignoli,7,no
Francesco_Lussignoli,8,no
Francesco_Lussignoli,9,no
Virginiangelo_Marabini,7,no
Virginiangelo_Marabini,8,no
Andrea_Margheri,7,no
Andrea_Margheri,8,no
Fiorenzo_Maroli,7,no
Fiorenzo_Maroli,8,no
Leopoldo_Attilio_Martino,7,no
Aldo_Cetrullo,4,no
Aldo_Cetrullo,6,no
Amleto_Monsellato,5,no
Amleto_Monsellato,7,no
Vito_Napoli,7,no
Vito_Napoli,8,no
Vito_Napoli,9,no
Vito_Napoli,10,no
Vito_Napoli,11,no
Achille_Occhetto,7,no
Achille_Occhetto,8,no
Achille_Occhetto,9,no
Achille_Occhetto,10,no
Achille_Occhetto,11,no
Achille_Occhetto,12,no
Achille_Occhetto,13,no
Gianmario_Pellizzari,7,no
Gianmario_Pellizzari,8,no
Gianmario_Pellizzari,9,no
Gianmario_Pellizzari,10,no
Elio_Quercioli,7,no
Elio_Quercioli,8,no
Elio_Quercioli,9,no
Elio_Quercioli,10,no
Antonio_Rubbi,7,no
Antonio_Rubbi,8,no
Antonio_Rubbi,9,no
Antonio_Rubbi,10,no
Alberto_Ciampaglia,5,no
Alberto_Ciampaglia,6,no
Alberto_Ciampaglia,7,no
Alberto_Ciampaglia,8,no
Alberto_Ciampaglia,9,no
Alberto_Ciampaglia,10,no
Angelo_Tiraboschi,7,no
Angelo_Tiraboschi,8,no
Angelo_Tiraboschi,9,no
Angelo_Tiraboschi,10,no
Angelo_Tiraboschi,11,no
Mario_Cirillo,5,no
Mario_Cirillo,6,no
Bruno_Zambon,7,no
Bruno_Zambon,8,no
Bruno_Zambon,9,no
Bruno_Zambon,10,no
Bruno_Zambon,11,no
Giuseppe_Zuech,7,no
Giuseppe_Zuech,8,no
Giuseppe_Zuech,9,no
Giuseppe_Zuech,10,no
Carlo_Ricca,2,no
Carlo_Ricca,3,no
Alessandro_Butte',2,no
Alessandro_Butte',3,no
Alessandro_Butte',4,no
Vittorino_Carra,3,no
Vittorino_Carra,4,no
Vittorino_Carra,5,no
Ferruccio_Biagini,4,no
Ferruccio_Biagini,5,no
Bruno_Stegagnini,7,no
Bruno_Stegagnini,8,no
Bruno_Stegagnini,9,no
Bruno_Stegagnini,10,no
Angelo_Landi,3,no
Angelo_Landi,4,no
Liberato_Bronzuto,4,no
Liberato_Bronzuto,5,no
Paolo_Alatri,4,no
Mauro_Seppia,7,no
Mauro_Seppia,8,no
Mauro_Seppia,9,no
Mauro_Seppia,10,no
Elio_Fregonese,5,no
Walter_Alini,4,no
Walter_Alini,5,no
Francesco_Loperfido,4,no
Francesco_Loperfido,5,no
Angelo_Abenante,4,no
Vittorio_Aicardi,3,no
Adelio_Albarello,2,no
Adelio_Albarello,3,no
Pio_Alessandrini,1,no
Pio_Alessandrini,2,no
Pio_Alessandrini,3,no
Pio_Alessandrini,4,no
Silvio_Antonini,4,no
Silvano_Armaroli,3,no
Silvano_Armaroli,4,no
Walter_Audisio,1,no
Walter_Audisio,2,no
Walter_Audisio,3,no
Pierino_Azimonti,3,no
Pierino_Azimonti,5,no
Alfredo_Baldani_Guerra,4,no
