Governo,Ministro,nome,cognome,gender,legislatura
I Governo Pella,Ministro del Commercio con l'Estero,COSTANTINO,BRESCIANI TURRONI,male,legislatura 02
I Governo Pella,Ministro dell'Industria e Commercio,PIERO,MALVESTITI,male,legislatura 02
I Governo Pella,Ministro della Marina Mercantile,FERDINANDO,TAMBRONI ARMAROLI,male,legislatura 02
II Governo Berlusconi,Vice Ministro delle Infrastrutture e dei trasporti,MARIO,TASSONE,male,legislatura 14
I Governo Prodi,Ministro della Pubblica istruzione,LUIGI,BERLINGUER,male,legislatura 13
I Governo Prodi,Ministro dell'Università e della Ricerca scientifica e tecnologica,LUIGI,BERLINGUER,male,legislatura 13
I Governo D'Alema,Ministro della Pubblica istruzione,LUIGI,BERLINGUER,male,legislatura 13
II Governo D'Alema,Ministro della Pubblica istruzione,LUIGI,BERLINGUER,male,legislatura 13
I Governo Pella,Ministro del Bilancio,GIUSEPPE,PELLA,male,legislatura 02
I Governo Pella,Ministro degli Affari Esteri,GIUSEPPE,PELLA,male,legislatura 02
I Governo Prodi,Ministro dei Lavori Pubblici,ANTONIO,DI PIETRO,male,legislatura 13
I Governo Pella,Ministro dell'Interno,AMINTORE,FANFANI,male,legislatura 02
I Governo D'Alema,Ministro senza portafoglio per i Rapporti con il Parlamento,GIAN GUIDO,FOLLONI,male,legislatura 13
II Governo Berlusconi,Ministro senza portafoglio per gli Affari regionali,ENRICO,LA LOGGIA,male,legislatura 14
I Governo Prodi,"Ministro delle Risorse agricole, alimentari e forestali",MICHELE,PINTO,male,legislatura 13
I Governo Prodi,Ministro delle Politiche Agricole,MICHELE,PINTO,male,legislatura 13
I Governo D'Alema,Ministro del Lavoro e della Previdenza sociale,CESARE,SALVI,male,legislatura 13
II Governo D'Alema,Ministro del Lavoro e della previdenza sociale,CESARE,SALVI,male,legislatura 13
II Governo Amato,Ministro del Lavoro e della Previdenza sociale,CESARE,SALVI,male,legislatura 13
I Governo D'Alema,Ministro della Difesa,CARLO LUIGI,SCOGNAMIGLIO PASINI,male,legislatura 13
I Governo D'Alema,Ministro dell'Università e ricerca scientifica e tecnologica,ORTENSIO,ZECCHINO,male,legislatura 13
II Governo D'Alema,Ministro dell'Universita' e della ricerca scientifica e tecnologica,ORTENSIO,ZECCHINO,male,legislatura 13
II Governo Amato,Ministro dell'Università e della ricerca scientifica e tecnologica,ORTENSIO,ZECCHINO,male,legislatura 13
I Governo Prodi,Ministro senza portafoglio per la Funzione pubblica,FRANCO,BASSANINI,male,legislatura 13
I Governo Prodi,Ministro senza portafoglio per gli Affari regionali,FRANCO,BASSANINI,male,legislatura 13
II Governo D'Alema,Ministro senza Portafoglio per la Funzione pubblica,FRANCO,BASSANINI,male,legislatura 13
II Governo Amato,Ministro senza portafoglio per la Funzione pubblica,FRANCO,BASSANINI,male,legislatura 13
II Governo Berlusconi,Vice Ministro delle Infrastrutture e dei trasporti,UGO,MARTINAT,male,legislatura 14
I Governo D'Alema,"Ministro del Tesoro, bilancio e alla programmazione economica",GIULIANO,AMATO,male,legislatura 13
II Governo D'Alema,"Ministro del Tesoro, bilancio e programmazione economica",GIULIANO,AMATO,male,legislatura 13
II Governo Amato,Ministro dell'Universita' e della ricerca scientifica e tecnologica,GIULIANO,AMATO,male,legislatura 13
II Governo Amato,Ministro degli Affari esteri,GIULIANO,AMATO,male,legislatura 13
I Governo D'Alema,Ministro senza portafoglio per le Riforme istituzionali,GIULIANO,AMATO,male,legislatura 13
I Governo Prodi,Ministro della Difesa,BENIAMINO,ANDREATTA,male,legislatura 13
I Governo D'Alema,Ministro senza portafoglio per le Pari opportunità,LAURA,BALBO,female,legislatura 13
II Governo D'Alema,Ministro senza portafoglio per le Pari opportunità,LAURA,BALBO,female,legislatura 13
II Governo Berlusconi,Ministro degli Affari esteri,GIANFRANCO,FINI,male,legislatura 14
II Governo D'Alema,Ministro della Difesa,SERGIO,MATTARELLA,male,legislatura 13
II Governo Amato,Ministro della Difesa,SERGIO,MATTARELLA,male,legislatura 13
II Governo Berlusconi,Ministro dell'Ambiente e della tutela del territorio,ALTERO,MATTEOLI,male,legislatura 14
II Governo Berlusconi,Vice Ministro all'Ambiente e alla tutela del territorio,FRANCESCO,NUCARA,male,legislatura 14
I Governo Prodi,Ministro delle Finanze,VINCENZO ALFONSO,VISCO,male,legislatura 13
I Governo D'Alema,Ministro delle Finanze,VINCENZO ALFONSO,VISCO,male,legislatura 13
II Governo D'Alema,Ministro delle Finanze,VINCENZO ALFONSO,VISCO,male,legislatura 13
II Governo Amato,"Ministro del Tesoro, bilancio e della programmazione economica",VINCENZO ALFONSO,VISCO,male,legislatura 13
I Governo Pella,Ministro del Lavoro e della Previdenza Sociale,LEOPOLDO,RUBINACCI,male,legislatura 02
I Governo D'Alema,Ministro del Lavoro e della  Previdenza sociale,ANTONIO,BASSOLINO,male,legislatura 13
II Governo D'Alema,Ministro dei Lavori pubblici,WILLER,BORDON,male,legislatura 13
II Governo Amato,Ministro dell'Ambiente,WILLER,BORDON,male,legislatura 13
I Governo D'Alema,Ministro delle Comunicazioni,SALVATORE,CARDINALE,male,legislatura 13
II Governo D'Alema,Ministro delle Comunicazioni,SALVATORE,CARDINALE,male,legislatura 13
II Governo Amato,Ministro delle Comunicazioni,SALVATORE,CARDINALE,male,legislatura 13
I Governo Prodi,Ministro senza portafoglio per le Pari opportunità,ANNA,FINOCCHIARO,female,legislatura 13
II Governo D'Alema,Ministro senza Portafoglio per i Rapporti con Il Parlamento,AGAZIO,LOIERO,male,legislatura 13
II Governo Amato,Ministro senza portafoglio per gli Affari regionali,AGAZIO,LOIERO,male,legislatura 13
I Governo D'Alema,Ministro senza portafoglio per gli Affari regionali,KATIA,BELLILLO,female,legislatura 13
II Governo D'Alema,Ministro senza Portafoglio per gli Affari regionali,KATIA,BELLILLO,female,legislatura 13
II Governo Amato,Ministro senza portafoglio per le Pari opportunità,KATIA,BELLILLO,female,legislatura 13
I Governo Prodi,"Ministro dell'Industria, commercio e artigianato",PIER LUIGI,BERSANI,male,legislatura 13
I Governo D'Alema,"Ministro dell'Industria, commercio e artigianato",PIER LUIGI,BERSANI,male,legislatura 13
II Governo D'Alema,Ministro dei Trasporti e della navigazione,PIER LUIGI,BERSANI,male,legislatura 13
II Governo Amato,Ministro dei Trasporti e della navigazione,PIER LUIGI,BERSANI,male,legislatura 13
I Governo Prodi,Ministro del Tesoro,CARLO AZEGLIO,CIAMPI,male,legislatura 13
I Governo Prodi,Ministro del Bilancio e della programmazione economica,CARLO AZEGLIO,CIAMPI,male,legislatura 13
