Governo,Ministro,nome,cognome,gender,legislatura
I Governo Prodi,Ministro senza portafoglio per i Rapporti con il Parlamento,GIORGIO,BOGI,male,legislatura 13
II Governo De Gasperi,Ministro dell'Assistenza post-bellica,EMILIO,SERENI,male,legislatura costituente
III Governo De Gasperi,Ministro dei Lavori Pubblici,EMILIO,SERENI,male,legislatura costituente
I Governo De Gasperi,Ministro dell'Agricoltura e Foreste,FAUSTO,GULLO,male,legislatura costituente
II Governo De Gasperi,Ministro di Grazia e Giustizia,FAUSTO,GULLO,male,legislatura costituente
III Governo De Gasperi,Ministro di Grazia e Giustizia,FAUSTO,GULLO,male,legislatura costituente
IV Governo De Gasperi,Ministro della Marina Mercantile,PAOLO,CAPPA,male,legislatura costituente
I Governo Fanfani,Ministro dei Trasporti,BERNARDO,MATTARELLA,male,legislatura 02
IV Governo De Gasperi,Ministro di Grazia e Giustizia,GIUSEPPE,GRASSI,male,legislatura costituente
I Governo De Gasperi,Ministro degli Affari Esteri,ALCIDE,DE GASPERI,male,legislatura costituente
I Governo De Gasperi,Ministro per l'Africa italiana,ALCIDE,DE GASPERI,male,legislatura costituente
II Governo De Gasperi,Ministro dell'Interno,ALCIDE,DE GASPERI,male,legislatura costituente
II Governo De Gasperi,Ministro degli Affari Esteri,ALCIDE,DE GASPERI,male,legislatura costituente
II Governo De Gasperi,Ministro per l'Africa Italiana,ALCIDE,DE GASPERI,male,legislatura costituente
III Governo De Gasperi,Ministro per l'Africa italiana,ALCIDE,DE GASPERI,male,legislatura costituente
IV Governo De Gasperi,Ministro per l'Africa italiana,ALCIDE,DE GASPERI,male,legislatura costituente
I Governo De Gasperi,Ministro dell'Aeronautica,MARIO,CEVOLOTTO,male,legislatura costituente
I Governo De Gasperi,Ministro di Grazia e Giustizia,PALMIRO,TOGLIATTI,male,legislatura costituente
I Governo Fanfani,Ministro delle Poste e Telecomunicazioni,GENNARO,CASSIANI,male,legislatura 02
II Governo De Gasperi,Ministro della Pubblica Istruzione,GUIDO,GONELLA,male,legislatura costituente
III Governo De Gasperi,Ministro della Pubblica Istruzione,GUIDO,GONELLA,male,legislatura costituente
IV Governo De Gasperi,Ministro della Pubblica Istruzione,GUIDO,GONELLA,male,legislatura costituente
I Governo De Gasperi,Ministro dell'Industria e Commercio,GIOVANNI,GRONCHI,male,legislatura costituente
I Governo De Gasperi,Ministro per la Costituente,PIETRO,NENNI,male,legislatura costituente
II Governo De Gasperi,Ministro degli Affari Esteri,PIETRO,NENNI,male,legislatura costituente
II Governo De Gasperi,Ministro senza Portafoglio,PIETRO,NENNI,male,legislatura costituente
I Governo Fanfani,Ministro degli Affari Esteri,ATTILIO,PICCIONI,male,legislatura 02
IV Governo De Gasperi,Ministro senza Portafoglio,GIUSEPPE,SARAGAT,male,legislatura costituente
I Governo De Gasperi,Ministro delle Poste e Telecomunicazioni,MARIO,SCELBA,male,legislatura costituente
II Governo De Gasperi,Ministro delle Poste e Telecomunicazioni,MARIO,SCELBA,male,legislatura costituente
III Governo De Gasperi,Ministro dell'Interno,MARIO,SCELBA,male,legislatura costituente
IV Governo De Gasperi,Ministro dell'Interno,MARIO,SCELBA,male,legislatura costituente
I Governo Fanfani,Ministro dell'Interno,GIULIO,ANDREOTTI,male,legislatura 02
I Governo Fanfani,Ministro della Difesa,PAOLO EMILIO,TAVIANI,male,legislatura 02
IV Governo De Gasperi,Ministro dell'Industria e Commercio,GIUSEPPE,TOGNI,male,legislatura costituente
IV Governo De Gasperi,Ministro senza Portafoglio,GIUSEPPE,TOGNI,male,legislatura costituente
II Governo De Gasperi,Ministro della Marina Mercantile,SALVATORE,ALDISIO,male,legislatura costituente
III Governo De Gasperi,Ministro della Marina Mercantile,SALVATORE,ALDISIO,male,legislatura costituente
I Governo Fanfani,Ministro dell'Industria e Commercio,SALVATORE,ALDISIO,male,legislatura 02
II Governo De Gasperi,Ministro del Commercio con l'Estero,PIETRO,CAMPILLI,male,legislatura costituente
III Governo De Gasperi,Ministro delle Finanze e Tesoro,PIETRO,CAMPILLI,male,legislatura costituente
I Governo Fanfani,Ministro senza Portafoglio,PIETRO,CAMPILLI,male,legislatura 02
II Governo De Gasperi,Ministro senza Portafoglio,GINO,MACRELLI,male,legislatura costituente
II Governo De Gasperi,Ministro della Marina Mercantile,GIUSEPPE,MICHELI,male,legislatura costituente
I Governo De Gasperi,Ministro dell'Interno,GIUSEPPE,ROMITA,male,legislatura costituente
II Governo De Gasperi,Ministro dei Lavori Pubblici,GIUSEPPE,ROMITA,male,legislatura costituente
III Governo De Gasperi,Ministro del Lavoro e della Previdenza sociale,GIUSEPPE,ROMITA,male,legislatura costituente
II Governo De Gasperi,Ministro dell'Agricoltura e Foreste,ANTONIO,SEGNI,male,legislatura costituente
III Governo De Gasperi,Ministro dell'Agricoltura e Foreste,ANTONIO,SEGNI,male,legislatura costituente
IV Governo De Gasperi,Ministro dell'Agricoltura e Foreste,ANTONIO,SEGNI,male,legislatura costituente
I Governo De Gasperi,Ministro del Lavoro e della Previdenza Sociale,GAETANO,BARBARESCHI,male,legislatura costituente
II Governo De Gasperi,Ministro del Tesoro,GIOVANNI BATTISTA,BERTONE,male,legislatura costituente
I Governo De Gasperi,Ministro senza portafoglio,ALBERTO,CIANCA,male,legislatura costituente
II Governo De Gasperi,Ministro dell'Aeronautica,MARIO,CINGOLANI,male,legislatura costituente
IV Governo De Gasperi,Ministro della Difesa,MARIO,CINGOLANI,male,legislatura costituente
II Governo De Gasperi,Ministro del Lavoro e della Previdenza sociale,LODOVICO,D'ARAGONA,male,legislatura costituente
IV Governo De Gasperi,Ministro delle Poste e Telecomunicazioni,LODOVICO,D'ARAGONA,male,legislatura costituente
IV Governo De Gasperi,Ministro delle Finanze e Tesoro,LUIGI,EINAUDI,male,legislatura costituente
IV Governo De Gasperi,Ministro del Bilancio,LUIGI,EINAUDI,male,legislatura costituente
II Governo De Gasperi,Ministro della Guerra,CIPRIANO,FACCHINETTI,male,legislatura costituente
IV Governo De Gasperi,Ministro della Difesa,CIPRIANO,FACCHINETTI,male,legislatura costituente
I Governo De Gasperi,Ministro dell'Assistenza post-bellica,LUIGI,GASPAROTTO,male,legislatura costituente
III Governo De Gasperi,Ministro della Difesa,LUIGI,GASPAROTTO,male,legislatura costituente
I Governo De Gasperi,Ministro per la Consulta Nazionale,EMILIO,LUSSU,male,legislatura costituente
I Governo De Gasperi,Ministro senza Portafoglio,EMILIO,LUSSU,male,legislatura costituente
IV Governo De Gasperi,Ministro delle Poste e Telecomunicazioni,UMBERTO,MERLIN,male,legislatura costituente
I Governo Fanfani,Ministro dei Lavori Pubblici,UMBERTO,MERLIN,male,legislatura 02
I Governo De Gasperi,Ministro della Pubblica Istruzione,ENRICO,MOLE',male,legislatura costituente
II Governo De Gasperi,Ministro dell'Industria e del Commercio,RODOLFO,MORANDI,male,legislatura costituente
III Governo De Gasperi,Ministro delll'Industria e Commercio,RODOLFO,MORANDI,male,legislatura costituente
I Governo De Gasperi,Ministro delle Finanze,MAURO,SCOCCIMARRO,male,legislatura costituente
II Governo De Gasperi,Ministro delle Finanze,MAURO,SCOCCIMARRO,male,legislatura costituente
III Governo De Gasperi,Ministro degli Affari Esteri,CARLO,SFORZA,male,legislatura costituente
IV Governo De Gasperi,Ministro degli Affari Esteri,CARLO,SFORZA,male,legislatura costituente
IV Governo De Gasperi,Ministro dei Lavori Pubblici,UMBERTO,TUPINI,male,legislatura costituente
I Governo Fanfani,Ministro senza Portafoglio,UMBERTO,TUPINI,male,legislatura 02
III Governo De Gasperi,Ministro del Commercio con l'Estero,EZIO,VANONI,male,legislatura costituente
I Governo Fanfani,Ministro del Bilancio,EZIO,VANONI,male,legislatura 02
IV Governo De Gasperi,Ministro del Commercio con l'Estero,CESARE,MERZAGORA,male,legislatura costituente
I Governo De Gasperi,Ministro dei Lavori Pubblici,LEONE,CATTANI,male,legislatura costituente
I Governo De Gasperi,Ministro del Commercio con l'Estero,MARIO,BRACCI,male,legislatura costituente
I Governo De Gasperi,Ministro della Marina,RAFFAELE,DE COURTEN,male,legislatura costituente
I Governo Fanfani,Ministro delle Finanze,ADONE,ZOLI,male,legislatura 02
I Governo Fanfani,Ministro di Grazia e Giustizia,MICHELE,DE PIETRO,male,legislatura 02
I Governo De Gasperi,Ministro della Ricostruzione,UGO,LA MALFA,male,legislatura costituente
I Governo De Gasperi,Ministro del Commercio con l'Estero,UGO,LA MALFA,male,legislatura costituente
I Governo De Gasperi,Ministro dei Trasporti,RICCARDO,LOMBARDI,male,legislatura costituente
I Governo De Gasperi,Ministro del Tesoro,EPICARMO,CORBINO,male,legislatura costituente
II Governo De Gasperi,Ministro del Tesoro,EPICARMO,CORBINO,male,legislatura costituente
I Governo Fanfani,Ministro della Pubblica Istruzione,EGIDIO,TOSATO,male,legislatura 02
IV Governo De Gasperi,Ministro dell'Industria e Commercio,ROBERTO,TREMELLONI,male,legislatura costituente
I Governo Fanfani,Ministro della Marina Mercantile,FERDINANDO,TAMBRONI ARMAROLI,male,legislatura 02
III Governo De Gasperi,Ministro delle Poste e Telecomunicazioni,LUIGI,CACCIATORE,male,legislatura costituente
II Governo Prodi,Ministro del Commercio internazionale,EMMA,BONINO,female,legislatura 15
II Governo Prodi,Ministro senza portafoglio per le Politiche europee,EMMA,BONINO,female,legislatura 15
II Governo Prodi,Ministro senza portafoglio,EMMA,BONINO,female,legislatura 15
II Governo Prodi,Ministro della Giustizia,MARIO CLEMENTE,MASTELLA,male,legislatura 15
III Governo Berlusconi,Vice Ministro delle Infrastrutture e dei trasporti,MARIO,TASSONE,male,legislatura 14
IV Governo De Gasperi,Ministro delle Finanze,GIUSEPPE,PELLA,male,legislatura costituente
II Governo Prodi,Ministro delle Infrastrutture,ANTONIO,DI PIETRO,male,legislatura 15
II Governo Prodi,Ministro delle Infrastrutture e dei trasporti,ANTONIO,DI PIETRO,male,legislatura 15
IV Governo De Gasperi,Ministro del Lavoro e della Previdenza sociale,AMINTORE,FANFANI,male,legislatura costituente
III Governo Berlusconi,Ministro senza portafoglio per gli Affari regionali,ENRICO,LA LOGGIA,male,legislatura 14
III Governo Berlusconi,"Vice Ministro dell'Istruzione, dell'università e della ricerca",GIOVANNI,RICEVUTO,male,legislatura 14
III Governo Berlusconi,Vice Ministro dell'Economia e delle finanze,GIUSEPPE CARLO FERDINANDO,VEGAS,male,legislatura 14
III Governo Berlusconi,Vice Ministro delle Infrastrutture e dei trasporti,UGO,MARTINAT,male,legislatura 14
II Governo Prodi,Ministro dell'Interno,GIULIANO,AMATO,male,legislatura 15
III Governo Berlusconi,Ministro degli Affari esteri,GIANFRANCO,FINI,male,legislatura 14
II Governo Prodi,Vice Ministro degli Affari esteri,UGO,INTINI,male,legislatura 15
III Governo Berlusconi,Ministro dell'Ambiente e della tutela del territorio,ALTERO,MATTEOLI,male,legislatura 14
III Governo Berlusconi,Vice Ministro dell'Ambiente e della tutela del territorio,FRANCESCO,NUCARA,male,legislatura 14
II Governo Prodi,Ministro per i Beni e le attività culturali,FRANCESCO,RUTELLI,male,legislatura 15
II Governo Prodi,Vice Ministro dell'Economia e delle finanze,VINCENZO ALFONSO,VISCO,male,legislatura 15
II Governo De Gasperi,Ministro dei Trasporti,GIACOMO,FERRARI,male,legislatura costituente
III Governo De Gasperi,Ministro dei Trasporti,GIACOMO,FERRARI,male,legislatura costituente
II Governo Prodi,Ministro degli Affari esteri,MASSIMO,D'ALEMA,male,legislatura 15
II Governo Prodi,Ministro dello Sviluppo economico,PIER LUIGI,BERSANI,male,legislatura 15
II Governo Prodi,Ministro delle Attività produttive,PIER LUIGI,BERSANI,male,legislatura 15
II Governo Prodi,Ministro delle Politiche agricole e forestali,PAOLO,DE CASTRO,male,legislatura 15
II Governo Prodi,"Ministro delle Politiche agricole, alimentari e forestali",PAOLO,DE CASTRO,male,legislatura 15
II Governo Prodi,Vice Ministro dell'Interno,DOMENICO,MINNITI,male,legislatura 15
II Governo Prodi,Ministro per i Rapporti con il Parlamento e le riforme istituzionali,VANNINO,CHITI,male,legislatura 15
II Governo Prodi,Ministro per l'Attuazione del programma di Governo,GIULIO,SANTAGATA,male,legislatura 15
III Governo Berlusconi,Ministro delle Infrastrutture e dei trasporti,PIETRO,LUNARDI,male,legislatura 14
III Governo Berlusconi,"Ministro dell'Istruzione, dell'università e della ricerca",LETIZIA,MORATTI,female,legislatura 14
III Governo Berlusconi,Ministro senza portafoglio per l'Innovazione e le tecnologie,LUCIO,STANCA,male,legislatura 14
III Governo Berlusconi,Vice Ministro dell'Economia e delle finanze,MARIO,BALDASSARRI,male,legislatura 14
II Governo Prodi,Ministro delle Comunicazioni,PAOLO,GENTILONI SILVERI,male,legislatura 15
IV Governo De Gasperi,Ministro del Tesoro,GUSTAVO,DEL VECCHIO,male,legislatura costituente
IV Governo De Gasperi,Ministro dei Trasporti,GUIDO,CORBELLINI,male,legislatura costituente
I Governo De Gasperi,Ministro della Guerra,MANLIO,BROSIO,male,legislatura costituente
I Governo Fanfani,Ministro del Tesoro,SILVIO,GAVA,male,legislatura 02
I Governo Fanfani,Ministro dell'Agricoltura e Foreste,GIUSEPPE,MEDICI,male,legislatura 02
I Governo Fanfani,Ministro del Commercio con l'Estero,GIORDANO,DELL'AMORE,male,legislatura 02
III Governo Berlusconi,Ministro dell'Economia e delle finanze,DOMENICO,SINISCALCO,male,legislatura 14
II Governo Prodi,Vice Ministro dello Sviluppo economico,SERGIO ANTONIO,D'ANTONI,male,legislatura 15
II Governo Prodi,Ministro per gli Affari regionali e le autonomie locali,LINDA,LANZILLOTTA,female,legislatura 15
II Governo Prodi,Vice Ministro delle Infrastrutture,ANGELO,CAPODICASA,male,legislatura 15
II Governo Prodi,Ministro del Lavoro e della previdenza sociale,CESARE,DAMIANO,male,legislatura 15
II Governo Prodi,Ministro del Lavoro e delle politiche sociali,CESARE,DAMIANO,male,legislatura 15
II Governo Prodi,Ministro della Solidarietà sociale,PAOLO,FERRERO,male,legislatura 15
II Governo Prodi,Ministro senza portafoglio,PAOLO,FERRERO,male,legislatura 15
II Governo Prodi,Vice Ministro degli Affari esteri,PATRIZIA,SENTINELLI,female,legislatura 15
II Governo Prodi,Ministro dell'Economia e delle finanze,TOMMASO,PADOA SCHIOPPA,male,legislatura 15
II Governo Prodi,Ministro dei Trasporti,ALESSANDRO,BIANCHI,male,legislatura 15
II Governo Prodi,Ministro senza portafoglio,ALESSANDRO,BIANCHI,male,legislatura 15
II Governo Prodi,Ministro per le Riforme e le innovazioni nella pubblica amministrazione,LUIGI,NICOLAIS,male,legislatura 15
II Governo Prodi,Vice Ministro dell'Istruzione,MARIANGELA,BASTICO,female,legislatura 15
II Governo Prodi,Vice Ministro della Pubblica istruzione,MARIANGELA,BASTICO,female,legislatura 15
II Governo Prodi,Ministro della Giustizia,LUIGI,SCOTTI,male,legislatura 15
II Governo Prodi,Ministro della Salute,LIVIA,TURCO,female,legislatura 15
I Governo Fanfani,Ministro del Lavoro e della Previdenza Sociale,LUIGI,GUI,male,legislatura 02
III Governo Berlusconi,Ministro senza portafoglio per le Politiche comunitarie,GIORGIO,LA MALFA,male,legislatura 14
III Governo Berlusconi,Ministro senza Portafoglio per le Riforme istituzionali e la devoluzione,ROBERTO,CALDEROLI,male,legislatura 14
III Governo Berlusconi,Ministro senza portafoglio per l'Attuazione del programma di Governo,STEFANO,CALDORO,male,legislatura 14
III Governo Berlusconi,Ministro della Giustizia,ROBERTO,CASTELLI,male,legislatura 14
III Governo Berlusconi,Ministro senza portafoglio per i Rapporti con il Parlamento,CARLO AMEDEO,GIOVANARDI,male,legislatura 14
III Governo Berlusconi,Ministro del Lavoro e delle politiche sociali,ROBERTO ERNESTO,MARONI,male,legislatura 14
II Governo Prodi,Ministro dell'Università e della ricerca,FABIO,MUSSI,male,legislatura 15
II Governo Prodi,"Ministro dell'Istruzione, dell'università e della ricerca",FABIO,MUSSI,male,legislatura 15
II Governo Prodi,Ministro dell'Ambiente e della tutela del territorio e del mare,ALFONSO,PECORARO SCANIO,male,legislatura 15
II Governo Prodi,Ministro dell'Ambiente e della tutela del territorio,ALFONSO,PECORARO SCANIO,male,legislatura 15
II Governo Prodi,Vice Ministro dell'Economia e delle finanze,ROBERTO,PINZA,male,legislatura 15
II Governo Prodi,Ministro per i Diritti e le pari opportunità,BARBARA MARIA SIMONETTA,POLLASTRINI,female,legislatura 15
III Governo Berlusconi,Ministro delle Politiche agricole e forestali,GIOVANNI,ALEMANNO,male,legislatura 14
III Governo Berlusconi,Ministro senza portafoglio per la Funzione pubblica,MARIO,BACCINI,male,legislatura 14
III Governo Berlusconi,Ministro dell'Economia e delle finanze,SILVIO,BERLUSCONI,male,legislatura 14
III Governo Berlusconi,Ministro della Salute,SILVIO,BERLUSCONI,male,legislatura 14
II Governo Prodi,Ministro delle Politiche per la famiglia,ROSARIA,BINDI,female,legislatura 15
III Governo Berlusconi,Ministro per i Beni e le attività culturali,ROCCO,BUTTIGLIONE,male,legislatura 14
II Governo Prodi,Vice Ministro degli Affari esteri,FRANCO,DANIELI,male,legislatura 15
III Governo Berlusconi,Ministro delle Comunicazioni,MARIO,LANDOLFI,male,legislatura 14
III Governo Berlusconi,Ministro della Difesa,ANTONIO,MARTINO,male,legislatura 14
III Governo Berlusconi,Vice Ministro per i Beni e le attività culturali,ANTONIO,MARTUSCIELLO,male,legislatura 14
II Governo Prodi,Ministro per le Politiche giovanili e le attività sportive,GIOVANNA,MELANDRI,female,legislatura 15
III Governo Berlusconi,Ministro senza Portafoglio per lo Sviluppo e la coesione territoriale,GIOVANNI,MICCICHE',male,legislatura 14
III Governo Berlusconi,Ministro senza portafoglio per le Pari opportunità,STEFANIA,PRESTIGIACOMO,female,legislatura 14
III Governo Berlusconi,Ministro della Salute,FRANCESCO,STORACE,male,legislatura 14
III Governo Berlusconi,Ministro dell'Economia e delle finanze,GIULIO CARLO DANILO,TREMONTI,male,legislatura 14
III Governo Berlusconi,Ministro senza Portafoglio della Presidenza del Consiglio dei Ministri,GIULIO CARLO DANILO,TREMONTI,male,legislatura 14
III Governo Berlusconi,Vice Ministro delle Attività produttive,ADOLFO,URSO,male,legislatura 14
III Governo Berlusconi,Ministro dell'Interno,GIUSEPPE,PISANU,male,legislatura 14
II Governo Prodi,Ministro dell'Istruzione,GIUSEPPE,FIORONI,male,legislatura 15
II Governo Prodi,Ministro della Pubblica istruzione,GIUSEPPE,FIORONI,male,legislatura 15
II Governo Prodi,Ministro senza portafoglio,GIUSEPPE,FIORONI,male,legislatura 15
III Governo Berlusconi,Ministro delle Attività produttive,CLAUDIO,SCAJOLA,male,legislatura 14
II Governo Prodi,Vice Ministro dei Trasporti,CESARE,DE PICCOLI,male,legislatura 15
II Governo Prodi,Ministro del Commercio internazionale,ROMANO,PRODI,male,legislatura 15
II Governo Prodi,Ministro della Giustizia,ROMANO,PRODI,male,legislatura 15
III Governo Berlusconi,"Vice Ministro dell'Istruzione, dell'università e della ricerca",GUIDO,POSSA,male,legislatura 14
II Governo Prodi,Ministro della Difesa,ARTURO MARIO LUIGI,PARISI,male,legislatura 15
III Governo Berlusconi,Ministro senza portafoglio per gli Italiani nel mondo,PIERANTONIO MIRKO,TREMAGLIA,male,legislatura 14
IV Governo De Gasperi,Ministro senza Portafoglio,RANDOLFO,PACCIARDI,male,legislatura costituente
I Governo Scelba,Ministro dei Trasporti,BERNARDO,MATTARELLA,male,legislatura 02
I Governo Segni,Ministro del Commercio con l'Estero,BERNARDO,MATTARELLA,male,legislatura 02
I Governo Zoli,Ministro delle Poste e Telecomunicazioni,BERNARDO,MATTARELLA,male,legislatura 02
I Governo Letta,Ministro degli Affari Esteri,EMMA,BONINO,female,legislatura 17
I Governo Segni,Ministro dei Trasporti,ARMANDO,ANGELINI,male,legislatura 02
I Governo Zoli,Ministro dei Trasporti,ARMANDO,ANGELINI,male,legislatura 02
I Governo Scelba,Ministro delle Poste e Telecomunicazioni,GENNARO,CASSIANI,male,legislatura 02
I Governo Segni,Ministro della Marina Mercantile,GENNARO,CASSIANI,male,legislatura 02
I Governo Zoli,Ministro della Marina Mercantile,GENNARO,CASSIANI,male,legislatura 02
I Governo Zoli,Ministro di Grazia e Giustizia,GUIDO,GONELLA,male,legislatura 02
I Governo Segni,Ministro senza Portafoglio,GUIDO,GONELLA,male,legislatura 02
I Governo Scelba,Ministro degli Affari Esteri,ATTILIO,PICCIONI,male,legislatura 02
I Governo Segni,Ministro senza Portafoglio,GIUSEPPE,SARAGAT,male,legislatura 02
I Governo Scelba,Ministro dell'Interno,MARIO,SCELBA,male,legislatura 02
I Governo Segni,Ministro delle Finanze,GIULIO,ANDREOTTI,male,legislatura 02
I Governo Zoli,Ministro delle Finanze,GIULIO,ANDREOTTI,male,legislatura 02
I Governo Scelba,Ministro della Difesa,PAOLO EMILIO,TAVIANI,male,legislatura 02
I Governo Segni,Ministro della Difesa,PAOLO EMILIO,TAVIANI,male,legislatura 02
I Governo Zoli,Ministro della Difesa,PAOLO EMILIO,TAVIANI,male,legislatura 02
I Governo Segni,Ministro delle Partecipazioni Statali,GIUSEPPE,TOGNI,male,legislatura 02
I Governo Zoli,Ministro dei Lavori Pubblici,GIUSEPPE,TOGNI,male,legislatura 02
IV Governo Berlusconi,Ministro delle infrastrutture e dei trasporti,ALTERO,MATTEOLI,male,legislatura 16
I Governo Scelba,Ministro senza Portafoglio,PIETRO,CAMPILLI,male,legislatura 02
I Governo Segni,Ministro senza Portafoglio,PIETRO,CAMPILLI,male,legislatura 02
I Governo Zoli,Ministro senza Portafoglio,PIETRO,CAMPILLI,male,legislatura 02
I Governo Scelba,Ministro senza Portafoglio,RAFFAELE,DE CARO,male,legislatura 02
I Governo Segni,Ministro senza Portafoglio,RAFFAELE,DE CARO,male,legislatura 02
I Governo Scelba,Ministro dei Lavori Pubblici,GIUSEPPE,ROMITA,male,legislatura 02
I Governo Segni,Ministro dei Lavori Pubblici,GIUSEPPE,ROMITA,male,legislatura 02
I Governo Scelba,Ministro dell'Industria e Commercio,BRUNO,VILLABRUNA,male,legislatura 02
I Governo Segni,Ministro delle Poste e Telecomunicazioni,GIOVANNI,BRASCHI,male,legislatura 02
I Governo Scelba,Ministro senza Portafoglio,UMBERTO,TUPINI,male,legislatura 02
I Governo Scelba,Ministro del Bilancio,EZIO,VANONI,male,legislatura 02
I Governo Segni,Ministro del Bilancio,EZIO,VANONI,male,legislatura 02
I Governo Segni,Ministro del Tesoro,EZIO,VANONI,male,legislatura 02
I Governo Zoli,Ministro del Commercio con l'Estero,GUIDO,CARLI,male,legislatura 02
I Governo Letta,Ministro senza portafoglio per la Pubblica Amministrazione e la Semplificazione,GIANPIERO,D'ALIA,male,legislatura 17
I Governo Letta,Ministro senza portafoglio per i Rapporti con il Parlamento e il Coordinamento dell'Attività di Governo,DARIO,FRANCESCHINI,male,legislatura 17
I Governo Letta,Vice Ministro dell'Economia e delle Finanze,LUIGI,CASERO,male,legislatura 17
IV Governo Berlusconi,Ministro della Giustizia,ANGELINO,ALFANO,male,legislatura 16
I Governo Letta,Ministro dell'Interno,ANGELINO,ALFANO,male,legislatura 17
I Governo Letta,Ministro delle Infrastrutture e dei Trasporti,MAURIZIO ENZO,LUPI,male,legislatura 17
I Governo Segni,Ministro del Bilancio,ADONE,ZOLI,male,legislatura 02
I Governo Zoli,Ministro del Bilancio,ADONE,ZOLI,male,legislatura 02
I Governo Zoli,Ministro del Lavoro e della Previdenza Sociale,ADONE,ZOLI,male,legislatura 02
I Governo Scelba,Ministro di Grazia e Giustizia,MICHELE,DE PIETRO,male,legislatura 02
I Governo Letta,Ministro dell'Ambiente e della Tutela del Territorio e del Mare,ANDREA,ORLANDO,male,legislatura 17
I Governo Letta,Ministro senza portafoglio per le Riforme Costituzionali,GAETANO,QUAGLIARIELLO,male,legislatura 17
I Governo Letta,Ministro della Salute,BEATRICE,LORENZIN,female,legislatura 17
I Governo Letta,Ministro delle Politiche Agricole Alimentari e Forestali,NUNZIA,DE GIROLAMO,female,legislatura 17
I Governo Letta,Ministro della Giustizia,ANNA MARIA,CANCELLIERI,female,legislatura 17
I Governo Letta,Ministro senza portafoglio per gli Affari Europei,ENZO,MOAVERO MILANESI,male,legislatura 17
I Governo Letta,Vice Ministro dello Sviluppo economico,ANTONIO,CATRICALA',male,legislatura 17
I Governo Letta,Vice Ministro degli Affari esteri,MARTA,DASSU',female,legislatura 17
I Governo Letta,Vice Ministro dell'Economia e delle Finanze,STEFANO,FASSINA,male,legislatura 17
I Governo Letta,Ministro senza portafoglio per l'Integrazione,KASHETU,KYENGE,female,legislatura 17
I Governo Letta,Ministro per i Beni e le Attività Culturali,MASSIMO,BRAY,male,legislatura 17
I Governo Letta,"Ministro dell'Istruzione, dell'Università e della Ricerca",MARIA CHIARA,CARROZZA,female,legislatura 17
I Governo Letta,Vice Ministro degli Affari esteri,BRUNO,ARCHI,male,legislatura 17
I Governo Letta,"Ministro senza portafoglio per le Pari Opportunità, lo Sport e le Politiche Giovanili",JOSEFA,IDEM,female,legislatura 17
I Governo Letta,Ministro della Difesa,MARIO WALTER,MAURO,male,legislatura 17
I Governo Letta,Ministro senza portafoglio per gli Affari Regionali e le Autonomie,GRAZIANO,DELRIO,male,legislatura 17
I Governo Letta,Ministro senza portafoglio per la Coesione Territoriale,CARLO,TRIGILIA,male,legislatura 17
I Governo Letta,Ministro dell'Economia e delle Finanze,FABRIZIO,SACCOMANNI,male,legislatura 17
I Governo Letta,Ministro del Lavoro e delle Politiche Sociali,ENRICO,GIOVANNINI,male,legislatura 17
I Governo Letta,Ministro dello Sviluppo Economico,FLAVIO,ZANONATO,male,legislatura 17
I Governo Letta,Vice Ministro dello Sviluppo economico,CARLO,CALENDA,male,legislatura 17
IV Governo Berlusconi,Ministro della Difesa,IGNAZIO BENITO MARIA,LA RUSSA,male,legislatura 16
IV Governo Berlusconi,Ministro dell'Interno,ROBERTO ERNESTO,MARONI,male,legislatura 16
IV Governo Berlusconi,Ministro dell'Ambiente e della tutela del territorio e del mare,STEFANIA,PRESTIGIACOMO,female,legislatura 16
IV Governo Berlusconi,Ministro dell'Economia e delle finanze,GIULIO CARLO DANILO,TREMONTI,male,legislatura 16
I Governo Letta,Vice Ministro degli Affari esteri,LAPO,PISTELLI,male,legislatura 17
I Governo Segni,Ministro della Pubblica Istruzione,PAOLO,ROSSI,male,legislatura 02
I Governo Scelba,Ministro delle Finanze,ROBERTO,TREMELLONI,male,legislatura 02
I Governo Segni,Ministro dell'Industria e Commercio,GUIDO,CORTESE,male,legislatura 02
I Governo Scelba,Ministro del Lavoro e della Previdenza Sociale,EZIO,VIGORELLI,male,legislatura 02
I Governo Segni,Ministro del Lavoro e della Previdenza Sociale,EZIO,VIGORELLI,male,legislatura 02
I Governo Scelba,Ministro della Marina Mercantile,FERDINANDO,TAMBRONI ARMAROLI,male,legislatura 02
I Governo Segni,Ministro dell'Interno,FERDINANDO,TAMBRONI ARMAROLI,male,legislatura 02
I Governo Zoli,Ministro dell'Interno,FERDINANDO,TAMBRONI ARMAROLI,male,legislatura 02
I Governo Scelba,Ministro della Pubblica Istruzione,GAETANO,MARTINO,male,legislatura 02
I Governo Scelba,Ministro degli Affari Esteri,GAETANO,MARTINO,male,legislatura 02
I Governo Segni,Ministro degli Affari Esteri,GAETANO,MARTINO,male,legislatura 02
I Governo Scelba,Ministro del Commercio con l'Estero,MARIO,MARTINELLI,male,legislatura 02
I Governo Segni,Ministro dell'Agricoltura e Foreste,EMILIO,COLOMBO,male,legislatura 02
I Governo Zoli,Ministro dell'Agricoltura e Foreste,EMILIO,COLOMBO,male,legislatura 02
I Governo Scelba,Ministro della Pubblica Istruzione,GIUSEPPE,ERMINI,male,legislatura 02
