persona,gender,legislatura,graduated
Moreno_Bambi,male,legislatura07,no
Moreno_Bambi,male,legislatura08,no
Moreno_Bambi,male,legislatura09,no
Arnaldo_Baracetti,male,legislatura07,no
Arnaldo_Baracetti,male,legislatura08,no
Arnaldo_Baracetti,male,legislatura09,no
Eriase_Belardi,male,legislatura07,no
Eriase_Belardi,male,legislatura08,no
Eriase_Belardi,male,legislatura09,no
Antonio_Bellocchio,male,legislatura07,no
Antonio_Bellocchio,male,legislatura08,no
Antonio_Bellocchio,male,legislatura09,no
Antonio_Bellocchio,male,legislatura10,no
Fausto_Bocchi,male,legislatura05,no
Fausto_Bocchi,male,legislatura07,no
Fausto_Bocchi,male,legislatura08,no
Fausto_Bocchi,male,legislatura09,no
Paolo_Pietro_Broccoli,male,legislatura07,no
Paolo_Pietro_Broccoli,male,legislatura08,no
Armando_Calaminici,male,legislatura07,no
Armando_Calaminici,male,legislatura08,no
Giovanni_Calice,male,legislatura07,no
Leo_Canullo,male,legislatura07,no
Leo_Canullo,male,legislatura08,no
Leo_Canullo,male,legislatura09,no
Francesco_Catanzariti,male,legislatura06,no
Natale_Carlotto,male,legislatura07,no
Natale_Carlotto,male,legislatura08,no
Natale_Carlotto,male,legislatura09,no
Pietro_Carmeno,male,legislatura07,no
Pietro_Carmeno,male,legislatura08,no
Giorgio_Casalino,male,legislatura07,no
Giorgio_Casalino,male,legislatura08,no
Benito_Cazora,male,legislatura07,no
Benito_Cazora,male,legislatura08,no
Benito_Cazora,male,legislatura09,no
Alberto_Cecchi,male,legislatura07,no
Alberto_Cecchi,male,legislatura08,no
Giovanni_Battista_Colurcio,male,legislatura07,no
Pietro_Conti,male,legislatura07,no
Pietro_Conti,male,legislatura08,no
Pietro_Conti,male,legislatura09,no
Salvatore_Corallo,male,legislatura07,no
Angelo_Gaetano_Cresco,male,legislatura07,no
Angelo_Gaetano_Cresco,male,legislatura08,no
Angelo_Gaetano_Cresco,male,legislatura09,no
Angelo_Gaetano_Cresco,male,legislatura10,no
Angelo_Gaetano_Cresco,male,legislatura11,no
Marte_Ferrari,male,legislatura07,no
Marte_Ferrari,male,legislatura08,no
Marte_Ferrari,male,legislatura09,no
Marte_Ferrari,male,legislatura10,no
Marte_Ferrari,male,legislatura11,no
Sergio_Ceravolo,male,legislatura05,no
Sergio_Ceravolo,male,legislatura06,no
Sergio_Ceravolo,male,legislatura07,no
Vincenzo_Gatto,male,legislatura03,no
Vincenzo_Gatto,male,legislatura04,no
Vincenzo_Gatto,male,legislatura05,no
Vincenzo_Gatto,male,legislatura07,no
Carlo_Cerri,male,legislatura06,no
Pasquale_Lamorte,male,legislatura07,no
Pasquale_Lamorte,male,legislatura08,no
Pasquale_Lamorte,male,legislatura09,no
Pasquale_Lamorte,male,legislatura10,no
Pasquale_Lamorte,male,legislatura11,no
Lucio_Magri,male,legislatura07,no
Lucio_Magri,male,legislatura08,no
Lucio_Magri,male,legislatura09,no
Lucio_Magri,male,legislatura10,no
Lucio_Magri,male,legislatura11,no
Manfredo_Manfredi,male,legislatura07,no
Manfredo_Manfredi,male,legislatura08,no
Manfredo_Manfredi,male,legislatura09,no
Manfredo_Manfredi,male,legislatura10,no
Manfredo_Manfredi,male,legislatura11,no
Mario_Martinelli,male,legislatura costituente,no
Mario_Martinelli,male,legislatura01,no
Mario_Martinelli,male,legislatura02,no
Mario_Martinelli,male,legislatura03,no
Mario_Martinelli,male,legislatura07,no
Gino_Cesaroni,male,legislatura05,no
Gino_Cesaroni,male,legislatura06,no
Silverio_Corvisieri,male,legislatura07,no
Silverio_Corvisieri,male,legislatura08,no
Silverio_Corvisieri,male,legislatura09,no
Mario_Cravedi,male,legislatura07,no
Mario_Cravedi,male,legislatura08,no
Emo_Danesi,male,legislatura07,no
Emo_Danesi,male,legislatura08,no
Francesco_Da_Prato,male,legislatura07,no
Francesco_Da_Prato,male,legislatura08,no
Mazarino_Marco_De_Petro,male,legislatura07,no
Adolfo_Facchini,male,legislatura07,no
Adolfo_Facchini,male,legislatura08,no
Giovanni_Fantaci,male,legislatura07,no
Guido_Fanti,male,legislatura07,no
Guido_Fanti,male,legislatura08,no
Nevio_Felicetti,male,legislatura07,no
Luciano_Forni,male,legislatura07,no
Salvatore_Forte,male,legislatura07,no
Salvatore_Forte,male,legislatura08,no
Giuseppe_Fortunato,male,legislatura07,no
Hugo_Gamper,male,legislatura07,no
Hugo_Gamper,male,legislatura08,no
Raffaele_Giuseppe_Carmelo_Giura_Longo,male,legislatura07,no
Raffaele_Giuseppe_Carmelo_Giura_Longo,male,legislatura08,no
Lelio_Grassucci,male,legislatura07,no
Lelio_Grassucci,male,legislatura08,no
Lelio_Grassucci,male,legislatura09,no
Gennaro_Guadagno,male,legislatura07,no
Enrico_Gualandi,male,legislatura07,no
Enrico_Gualandi,male,legislatura08,no
Enrico_Gualandi,male,legislatura09,no
Nazzareno_Guasso,male,legislatura07,no
Paolo_Guerrini,male,legislatura07,no
Paolo_Guerrini,male,legislatura09,no
Guido_Ianni,male,legislatura07,no
Guido_Ianni,male,legislatura08,no
Guido_Ianni,male,legislatura09,no
Salvatore_La_Rocca,male,legislatura07,no
Salvatore_La_Rocca,male,legislatura08,no
Pier_Giorgio_Licheri,male,legislatura07,no
Francesco_Lussignoli,male,legislatura07,no
Francesco_Lussignoli,male,legislatura08,no
Francesco_Lussignoli,male,legislatura09,no
Virginiangelo_Marabini,male,legislatura07,no
Virginiangelo_Marabini,male,legislatura08,no
Andrea_Margheri,male,legislatura07,no
Andrea_Margheri,male,legislatura08,no
Fiorenzo_Maroli,male,legislatura07,no
Fiorenzo_Maroli,male,legislatura08,no
Leopoldo_Attilio_Martino,male,legislatura07,no
Aldo_Cetrullo,male,legislatura04,no
Aldo_Cetrullo,male,legislatura06,no
Amleto_Monsellato,male,legislatura05,no
Amleto_Monsellato,male,legislatura07,no
Vito_Napoli,male,legislatura07,no
Vito_Napoli,male,legislatura08,no
Vito_Napoli,male,legislatura09,no
Vito_Napoli,male,legislatura10,no
Vito_Napoli,male,legislatura11,no
Achille_Occhetto,male,legislatura07,no
Achille_Occhetto,male,legislatura08,no
Achille_Occhetto,male,legislatura09,no
Achille_Occhetto,male,legislatura10,no
Achille_Occhetto,male,legislatura11,no
Achille_Occhetto,male,legislatura12,no
Achille_Occhetto,male,legislatura13,no
Gianmario_Pellizzari,male,legislatura07,no
Gianmario_Pellizzari,male,legislatura08,no
Gianmario_Pellizzari,male,legislatura09,no
Gianmario_Pellizzari,male,legislatura10,no
Elio_Quercioli,male,legislatura07,no
Elio_Quercioli,male,legislatura08,no
Elio_Quercioli,male,legislatura09,no
Elio_Quercioli,male,legislatura10,no
Antonio_Rubbi,male,legislatura07,no
Antonio_Rubbi,male,legislatura08,no
Antonio_Rubbi,male,legislatura09,no
Antonio_Rubbi,male,legislatura10,no
Alberto_Ciampaglia,male,legislatura05,no
Alberto_Ciampaglia,male,legislatura06,no
Alberto_Ciampaglia,male,legislatura07,no
Alberto_Ciampaglia,male,legislatura08,no
Alberto_Ciampaglia,male,legislatura09,no
Alberto_Ciampaglia,male,legislatura10,no
Angelo_Tiraboschi,male,legislatura07,no
Angelo_Tiraboschi,male,legislatura08,no
Angelo_Tiraboschi,male,legislatura09,no
Angelo_Tiraboschi,male,legislatura10,no
Angelo_Tiraboschi,male,legislatura11,no
Mario_Cirillo,male,legislatura05,no
Mario_Cirillo,male,legislatura06,no
Bruno_Zambon,male,legislatura07,no
Bruno_Zambon,male,legislatura08,no
Bruno_Zambon,male,legislatura09,no
Bruno_Zambon,male,legislatura10,no
Bruno_Zambon,male,legislatura11,no
Giuseppe_Zuech,male,legislatura07,no
