Governo,Ministro,nome,cognome,legislatura
I Governo Letta,Vice Ministro del Lavoro e delle Politiche sociali,MARIA CECILIA,GUERRA,legislatura 17
IV Governo Berlusconi,Ministro senza portafoglio,ANNA MARIA,BERNINI,legislatura 16
II Governo Conte,Ministro dell'Istruzione,LUCIA,AZZOLINA,legislatura 18
II Governo Conte,Ministro delle Infrastrutture e dei trasporti,PAOLA,DE MICHELI,legislatura 18
II Governo Conte,Ministro senza portafoglio per la pubblica amministrazione,FABIANA,DADONE,legislatura 18
II Governo Conte,Ministro del Lavoro e delle politiche sociali,NUNZIA,CATALFO,legislatura 18
II Governo Conte,"Ministro delle Politiche agricole alimentari, forestali e del turismo",TERESA,BELLANOVA,legislatura 18
II Governo Conte,Ministro dell'Interno,LUCIANA,LAMORGESE,legislatura 18
II Governo Conte,Ministro senza portafoglio per le Pari opportunità e la famiglia,ELENA,BONETTI,legislatura 18
II Governo Conte,Ministro senza portafoglio per l'Innovazione tecnologica e la digitalizzazione,PAOLA,PISANO,legislatura 18
I Governo Conte,Ministro per la Pubblica amministrazione,GIULIA,BONGIORNO,legislatura 18
I Governo Conte,Ministro per il Sud,BARBARA,LEZZI,legislatura 18
I Governo Conte,Ministro della Difesa,ELISABETTA,TRENTA,legislatura 18
I Governo Conte,Ministro senza portafoglio,BARBARA,LEZZI,legislatura 18
I Governo Conte,Ministro senza portafoglio,GIULIA,BONGIORNO,legislatura 18
I Governo Conte,Ministro senza portafoglio,ERIKA,STEFANI,legislatura 18
I Governo Conte,Ministro per gli Affari regionali e le autonomie,ERIKA,STEFANI,legislatura 18
I Governo Conte,Ministro della Salute,GIULIA,GRILLO,legislatura 18
I Governo Conte,Vice Ministro dell'Economia e delle finanze,LAURA,CASTELLI,legislatura 18
II Governo Conte,Vice Ministro dell'Economia e le finanze,LAURA,CASTELLI,legislatura 18
I Governo Conte,Viceministro agli Affari esteri e alla cooperazione internazionale,EMANUELA CLAUDIA,DEL RE,legislatura 18
I Governo Gentiloni Silveri,Vice Ministro dello Sviluppo economico,TERESA,BELLANOVA,legislatura 17
I Governo Conte,Ministro per le disabilità e la famiglia,ALESSANDRA,LOCATELLI,legislatura 18
I Governo Conte,Ministro senza portafoglio,ALESSANDRA,LOCATELLI,legislatura 18
I Governo Gentiloni Silveri,"Ministro dell'Istruzione, dell'università e della ricerca",VALERIA,FEDELI,legislatura 17
I Governo Gentiloni Silveri,Ministro della Salute,BEATRICE,LORENZIN,legislatura 17
I Governo Gentiloni Silveri,Ministro per i Rapporti con il Parlamento,ANNA,FINOCCHIARO,legislatura 17
I Governo Gentiloni Silveri,Ministro della Difesa,ROBERTA,PINOTTI,legislatura 17
I Governo Gentiloni Silveri,Ministro per la Semplificazione e la pubblica amministrazione,MARIA ANNA,MADIA,legislatura 17
II Governo Conte,Ministro delle Politiche agricole alimentari e forestali,TERESA,BELLANOVA,legislatura 18
II Governo Conte,Vice Ministro degli Affari esteri e della cooperazione internazionale,MARINA,SERENI,legislatura 18
II Governo Conte,Vice Ministro dell'Istruzione,ANNA,ASCANI,legislatura 18
II Governo Conte,Vice Ministro degli Affari esteri e della cooperazione internazionale,EMANUELA CLAUDIA,DEL RE,legislatura 18
I Governo Draghi,Vice Ministro dell'Economia e delle finanze,LAURA,CASTELLI,legislatura 18
I Governo Draghi,Vice Ministro degli Affari esteri e della cooperazione internazionale,MARINA,SERENI,legislatura 18
I Governo Draghi,Ministro per il Sud e la coesione territoriale,MARIA ROSARIA,CARFAGNA,legislatura 18
I Governo Draghi,Ministro per le Politiche giovanili,FABIANA,DADONE,legislatura 18
I Governo Draghi,Ministro per le Pari opportunità e la famiglia,ELENA,BONETTI,legislatura 18
I Governo Draghi,Ministro per gli Affari regionali e le autonomie,MARIASTELLA,GELMINI,legislatura 18
I Governo Draghi,Ministro dell'Interno,LUCIANA,LAMORGESE,legislatura 18
I Governo Draghi,Ministro della Giustizia,MARTA,CARTABIA,legislatura 18
I Governo Draghi,Ministro per le Disabilità,ERIKA,STEFANI,legislatura 18
I Governo Draghi,Ministro dell'Università e della ricerca,MARIA CRISTINA,MESSA,legislatura 18
I Governo Draghi,Vice Ministro dello Sviluppo economico,ALESSANDRA,TODDE,legislatura 18
I Governo Draghi,Vice Ministro delle Infrastrutture e della mobilità sostenibili,TERESA,BELLANOVA,legislatura 18
