Governo,Ministro,nome,cognome,legislatura_modificata
V Governo Rumor,Ministro del Tesoro,EMILIO,COLOMBO,legislatura 06
II Governo Andreotti,Ministro senza Portafoglio,EMILIO,COLOMBO,legislatura 06
IV Governo Rumor,Ministro senza Portafoglio,ACHILLE,CORONA,legislatura 06
III Governo Rumor,Ministro senza Portafoglio,EUGENIO,GATTO,legislatura 05
I Governo Colombo,Ministro senza Portafoglio,EUGENIO,GATTO,legislatura 05
I Governo Andreotti,Ministro senza Portafoglio,EUGENIO,GATTO,legislatura 05
I Governo Andreotti,Ministro delle Finanze,GIUSEPPE,PELLA,legislatura 05
IV Governo Rumor,Ministro della Marina Mercantile,GIOVANNI,PIERACCINI,legislatura 06
V Governo Rumor,Ministro senza Portafoglio,GIOVANNI,PIERACCINI,legislatura 06
I Governo Andreotti,MInistro del Commercio con l'Estero,CAMILLO,RIPAMONTI,legislatura 05
V Governo Rumor,Ministro del Turismo e Spettacolo,CAMILLO,RIPAMONTI,legislatura 06
III Governo Rumor,Ministro senza Portafoglio,CAMILLO,RIPAMONTI,legislatura 05
I Governo Colombo,Ministro senza Portafoglio,CAMILLO,RIPAMONTI,legislatura 05
IV Governo Rumor,MInistro senza Portafoglio,CAMILLO,RIPAMONTI,legislatura 06
I Governo Andreotti,Ministro del Turismo e Spettacolo,GIOVANNI BATTISTA,SCAGLIA,legislatura 05
V Governo Rumor,Ministro della Sanità,VITTORINO,COLOMBO,legislatura 06
III Governo Rumor,Ministro senza Portafoglio,FRANCESCO,DE MARTINO,legislatura 05
I Governo Colombo,Ministro senza Portafoglio,FRANCESCO,DE MARTINO,legislatura 05
III Governo Rumor,MInistro delle Partecipazioni Statali,FLAMINIO,PICCOLI,legislatura 05
I Governo Colombo,Ministro delle Partecipazioni Statali,FLAMINIO,PICCOLI,legislatura 05
I Governo Andreotti,Ministro delle Partecipazioni Statali,FLAMINIO,PICCOLI,legislatura 05
IV Governo Rumor,Ministro senza Portafoglio,MARIO,TOROS,legislatura 06
V Governo Rumor,Ministro senza Portafoglio,MARIO,TOROS,legislatura 06
I Governo Andreotti,Ministro della Sanità,ATHOS,VALSECCHI,legislatura 05
II Governo Andreotti,Ministro delle Finanze,ATHOS,VALSECCHI,legislatura 06
IV Governo Rumor,"Ministro dell'Industria, Commercio e Artigianato",LUIGI CIRIACO,DE MITA,legislatura 06
V Governo Rumor,"Ministro dell'Industria, Commercio e Artigianato",LUIGI CIRIACO,DE MITA,legislatura 06
III Governo Rumor,Ministro del Lavoro e della Previdenza Sociale,CARLO,DONAT CATTIN,legislatura 05
I Governo Colombo,Ministro del Lavoro e della Previdenza Sociale,CARLO,DONAT CATTIN,legislatura 05
I Governo Andreotti,Ministro del Lavoro e della Previdenza Sociale,CARLO,DONAT CATTIN,legislatura 05
IV Governo Rumor,Ministro senza Portafoglio,CARLO,DONAT CATTIN,legislatura 06
I Governo Colombo,MInistro del Tesoro,MARIO,FERRARI AGGRADI,legislatura 05
I Governo Andreotti,Ministro dei Lavori Pubblici,MARIO,FERRARI AGGRADI,legislatura 05
II Governo Andreotti,Ministro delle Partecipazioni Statali,MARIO,FERRARI AGGRADI,legislatura 06
IV Governo Rumor,Ministro dell'Agricoltura e Foreste,MARIO,FERRARI AGGRADI,legislatura 06
III Governo Rumor,Ministro senza Portafoglio,MARIO,FERRARI AGGRADI,legislatura 05
II Governo Andreotti,"Ministro dell'Industria, Commercio e Artigianato",MAURO,FERRI,legislatura 06
III Governo Rumor,Ministro della Marina Mercantile,SALVATORE,MANNIRONI,legislatura 05
I Governo Colombo,Ministro della Marina Mercantile,SALVATORE,MANNIRONI,legislatura 05
II Governo Andreotti,Ministro della Sanità,REMO,GASPARI,legislatura 06
III Governo Rumor,Ministro senza Portafoglio,REMO,GASPARI,legislatura 05
I Governo Colombo,Ministro senza Portafoglio,REMO,GASPARI,legislatura 05
I Governo Andreotti,Ministro senza Portafoglio,REMO,GASPARI,legislatura 05
II Governo Andreotti,Ministro delle Poste e Telecomunicazioni,GIOVANNI,GIOIA,legislatura 06
IV Governo Rumor,Ministro senza Portafoglio,GIOVANNI,GIOIA,legislatura 06
V Governo Rumor,Ministro senza Portafoglio,GIOVANNI,GIOIA,legislatura 06
III Governo Rumor,Ministro del Bilancio,ANTONIO,GIOLITTI,legislatura 05
I Governo Colombo,Ministro del Bilancio e della Programmazione Economica,ANTONIO,GIOLITTI,legislatura 05
IV Governo Rumor,Ministro del Bilancio e della Programmazione Economica,ANTONIO,GIOLITTI,legislatura 06
V Governo Rumor,MInistro del Bilancio e della Programmazione Economica,ANTONIO,GIOLITTI,legislatura 06
II Governo Rumor,Ministro di Grazia e Giustizia,SILVIO,GAVA,legislatura 05
III Governo Rumor,"MInistro dell'Industria, Commercio e Artigianato",SILVIO,GAVA,legislatura 05
I Governo Colombo,"Ministro dell'Industria, Commercio e Artigianato",SILVIO,GAVA,legislatura 05
I Governo Andreotti,"Ministro dell'Industria, Commercio e Artigianato",SILVIO,GAVA,legislatura 05
II Governo Andreotti,MInistro senza Portafoglio,SILVIO,GAVA,legislatura 06
IV Governo Rumor,Ministro senza Portafoglio,SILVIO,GAVA,legislatura 06
II Governo Andreotti,Ministro degli Affari Esteri,GIUSEPPE,MEDICI,legislatura 06
II Governo Rumor,Ministro delle Finanze,GIACINTO,BOSCO,legislatura 05
III Governo Rumor,Ministro delle Poste e Telecomunicazioni,GIACINTO,BOSCO,legislatura 05
I Governo Colombo,Ministro delle Poste e Telecomunicazioni,GIACINTO,BOSCO,legislatura 05
I Governo Andreotti,Ministro delle Poste e Telecomunicazioni,GIACINTO,BOSCO,legislatura 05
III Governo Rumor,Ministro senza Portafoglio,GIACINTO,BOSCO,legislatura 05
II Governo Rumor,Ministro del Bilancio e della Programmazione Economica,GIUSEPPE,CARON,legislatura 05
II Governo Rumor,Ministro senza Portafoglio,GIORGIO,BO,legislatura 05
II Governo Andreotti,Ministro del Lavoro e della Previdenza Sociale,DIONIGI,COPPO,legislatura 06
V Governo Rumor,Ministro della Marina Mercantile,DIONIGI,COPPO,legislatura 06
IV Governo Rumor,Ministro senza Portafoglio,DIONIGI,COPPO,legislatura 06
I Governo Colombo,Ministro della Marina Mercantile,GIOACCHINO,ATTAGUILE,legislatura 05
III Governo Rumor,Ministro dei Trasporti e dell'Aviazione civile,ITALO,VIGLIANESI,legislatura 05
I Governo Colombo,Ministro dei Trasporti e dell'Aviazione Civile,ITALO,VIGLIANESI,legislatura 05
IV Governo Rumor,Ministro del Turismo e Spettacolo,NICOLA,SIGNORELLO,legislatura 06
II Governo Andreotti,Ministro senza Portafoglio,GIORGIO,BERGAMASCO,legislatura 06
II Governo Rumor,Ministro della Difesa,LUIGI,GUI,legislatura 05
IV Governo Rumor,Ministro della Sanità,LUIGI,GUI,legislatura 06
V Governo Rumor,MInistro senza Portafoglio,LUIGI,GUI,legislatura 06
II Governo Andreotti,Ministro dei Lavori Pubblici,ANTONINO,GULLOTTI,legislatura 06
IV Governo Rumor,Ministro delle Partecipazioni Statali,ANTONINO,GULLOTTI,legislatura 06
V Governo Rumor,MInistro delle Partecipazioni Statali,ANTONINO,GULLOTTI,legislatura 06
III Governo Rumor,Ministro dei Lavori Pubblici,SALVATORE,LAURICELLA,legislatura 05
I Governo Colombo,Ministro dei Lavori Pubblici,SALVATORE,LAURICELLA,legislatura 05
IV Governo Rumor,Ministro dei Lavori Pubblici,SALVATORE,LAURICELLA,legislatura 06
V Governo Rumor,Ministro dei Lavori Pubblici,SALVATORE,LAURICELLA,legislatura 06
II Governo Rumor,"Ministro dell'Industria, Commercio e Artigianato",DOMENICO,MAGRI',legislatura 05
II Governo Andreotti,Ministro del Tesoro,GIOVANNI FRANCESCO,MALAGODI,legislatura 06
II Governo Rumor,Ministro delle Partecipazioni Statali,FRANCO MARIA,MALFATTI,legislatura 05
III Governo Rumor,MInistro delle Poste e Telecomunicazioni,FRANCO MARIA,MALFATTI,legislatura 05
IV Governo Rumor,Ministro della Pubblica Istruzione,FRANCO MARIA,MALFATTI,legislatura 06
V Governo Rumor,Ministro della Pubblica Istruzione,FRANCO MARIA,MALFATTI,legislatura 06
V Governo Rumor,Ministro senza Portafoglio,GIACOMO,MANCINI,legislatura 06
III Governo Rumor,Ministro della Sanità,LUIGI,MARIOTTI,legislatura 05
I Governo Colombo,Ministro della Sanità,LUIGI,MARIOTTI,legislatura 05
I Governo Colombo,MInistro del Turismo e Spettacolo,GIANMATTEO,MATTEOTTI,legislatura 05
II Governo Andreotti,Ministro del Commercio con l'Estero,GIANMATTEO,MATTEOTTI,legislatura 06
IV Governo Rumor,Ministro del Commercio con l'Estero,GIANMATTEO,MATTEOTTI,legislatura 06
V Governo Rumor,Ministro del Commercio con l'Estero,GIANMATTEO,MATTEOTTI,legislatura 06
II Governo Andreotti,Ministro del Turismo e Spettacolo,VITTORIO,BADINI CONFALONIERI,legislatura 06
II Governo Rumor,Ministro del Commercio con l'Estero,RICCARDO,MISASI,legislatura 05
III Governo Rumor,Ministro della Pubblica Istruzione,RICCARDO,MISASI,legislatura 05
I Governo Colombo,Ministro della Pubblica Istruzione,RICCARDO,MISASI,legislatura 05
I Governo Andreotti,Ministro della Pubblica Istruzione,RICCARDO,MISASI,legislatura 05
II Governo Rumor,Ministro degli Affari Esteri,ALDO,MORO,legislatura 05
III Governo Rumor,Ministro degli Affari Esteri,ALDO,MORO,legislatura 05
I Governo Colombo,Ministro degli Affari Esteri,ALDO,MORO,legislatura 05
I Governo Andreotti,Ministro degli Affari Esteri,ALDO,MORO,legislatura 05
IV Governo Rumor,Ministro degli Affari Esteri,ALDO,MORO,legislatura 06
V Governo Rumor,Ministro degli Affari Esteri,ALDO,MORO,legislatura 06
II Governo Rumor,Ministro dei Lavori Pubblici,LORENZO,NATALI PIERUCCI BONDI,legislatura 05
III Governo Rumor,Ministro dell'Agricoltura e Foreste,LORENZO,NATALI PIERUCCI BONDI,legislatura 05
I Governo Colombo,Ministro dell'Agricoltura e Foreste,LORENZO,NATALI PIERUCCI BONDI,legislatura 05
I Governo Andreotti,Ministro dell'Agricolture e Foreste,LORENZO,NATALI PIERUCCI BONDI,legislatura 05
II Governo Andreotti,Ministro dell'Agricoltura e Foreste,LORENZO,NATALI PIERUCCI BONDI,legislatura 06
III Governo Rumor,Ministro delle Finanze,LUIGI,PRETI,legislatura 05
I Governo Colombo,Ministro delle Finanze,LUIGI,PRETI,legislatura 05
IV Governo Rumor,Ministro dei Trasporti e dell'Aviazione civile,LUIGI,PRETI,legislatura 06
V Governo Rumor,Ministro dei Trasporti e dell'Aviazione Civile,LUIGI,PRETI,legislatura 06
V Governo Rumor,Ministro dei Trasporti,LUIGI,PRETI,legislatura 06
II Governo Andreotti,Ministro senza Portafoglio,PIER LUIGI,ROMITA,legislatura 06
I Governo Andreotti,Ministro dell'Interno,MARIANO,RUMOR,legislatura 05
II Governo Andreotti,Ministro dell'Interno,MARIANO,RUMOR,legislatura 06
II Governo Rumor,Ministro senza Portafoglio,CARLO,RUSSO,legislatura 05
III Governo Rumor,Ministro senza Portafoglio,CARLO,RUSSO,legislatura 05
I Governo Colombo,Ministro senza Portafoglio,CARLO,RUSSO,legislatura 05
I Governo Andreotti,Ministro senza Portafoglio,CARLO,RUSSO,legislatura 05
II Governo Rumor,Ministro dell'Agricoltura e Foreste,GIACOMO,SEDATI,legislatura 05
I Governo Andreotti,Ministro senza Portafoglio,FIORENTINO,SULLO,legislatura 05
II Governo Andreotti,MInistro senza Portafoglio,FIORENTINO,SULLO,legislatura 06
III Governo Rumor,Ministro della Difesa,MARIO,TANASSI,legislatura 05
I Governo Colombo,Ministro della Difesa,MARIO,TANASSI,legislatura 05
II Governo Andreotti,Ministro della Difesa,MARIO,TANASSI,legislatura 06
IV Governo Rumor,Ministro della Difesa,MARIO,TANASSI,legislatura 06
V Governo Rumor,Ministro delle Finanze,MARIO,TANASSI,legislatura 06
I Governo Andreotti,Ministro dei Trasporti e dell'Aviazione civile,OSCAR LUIGI,SCALFARO,legislatura 05
II Governo Andreotti,Ministro della Pubblica Istruzione,OSCAR LUIGI,SCALFARO,legislatura 06
III Governo Rumor,Ministro del Commercio con l'Estero,MARIO,ZAGARI,legislatura 05
I Governo Colombo,Ministro del Commercio con l'Estero,MARIO,ZAGARI,legislatura 05
IV Governo Rumor,Ministro di Grazia e Giustizia,MARIO,ZAGARI,legislatura 06
