Persona,legislatura
Chiara_Moroni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Chiara_Moroni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Patrizia_Paoletti_Tangheroni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Patrizia_Paoletti_Tangheroni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Luana_Zanella,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Luana_Zanella,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Katia_Zanotti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Katia_Zanotti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Graziella_Mascia,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Graziella_Mascia,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Caterina_De_Simone,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Caterina_De_Simone,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Elettra_Deiana,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Elettra_Deiana,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Carla_Mazzuca,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
Carla_Mazzuca,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Giuliana_Reduzzi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Alba_Sasso,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Alba_Sasso,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Osvalda_Trupia,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
Osvalda_Trupia,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Osvalda_Trupia,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Cinzia_Dato,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Daniela_Mazzuconi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Daniela_Mazzuconi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
Daniela_Garnero_Santanche',http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Daniela_Garnero_Santanche',http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Daniela_Garnero_Santanche',http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
Marilde_Provera,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Marilde_Provera,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Amalia_Schirru,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Amalia_Schirru,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Laura_Froner,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Laura_Froner,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Manuela_Di_Centa,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Manuela_Di_Centa,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Mariastella_Gelmini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Mariastella_Gelmini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Mariastella_Gelmini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
Emilia_Grazia_De_Biasi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Emilia_Grazia_De_Biasi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Stefania_Gabriella_Anastasia_Craxi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Stefania_Gabriella_Anastasia_Craxi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Luisa_Capitanio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Luisa_Capitanio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Paola_Frassinetti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Paola_Frassinetti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Laura_Ravetto,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Laura_Ravetto,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Laura_Ravetto,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
Linda_Lanzillotta,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Linda_Lanzillotta,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Rosalba_Benzoni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Maria_Paola_Merloni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Maria_Paola_Merloni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Donata_Lenzi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Donata_Lenzi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Donata_Lenzi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
Manuela_Ghizzoni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Manuela_Ghizzoni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Maria_Ida_Germontani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Flavia_Perina,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Flavia_Perina,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Silvia_Velo,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Silvia_Velo,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Mariza_Antonietta_Giuditta_Bafile,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Giuseppina_Fasciani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Marisa_Nicchi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Rosa_Suppa,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Maria_Emilia_Intrieri,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Mercedes_Lourdes_Frias,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Maria_Cristina_Perugia,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Giulia_Bongiorno,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Luana_Angeloni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Silvia_Barbieri,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Anna_Boselli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Leda_Colombini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Cristiana_Muscardini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Patrizia_Arnaboldi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Franca_Bassi_Montanari,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Ada_Becchi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Anna_Maria_Bernasconi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Luigina_Bernocco,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Giuseppina_Bertone,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Cristina_Bevilacqua,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Marisa_Bonfatti_Paini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Agata_Lucia_Alma_Cappiello,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Laura_Conti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Luigia_Cordati,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Annalisa_Diaz,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Silvana_Fachin,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Mariella_Gramaglia,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Maria_Teresa_Grosso,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Bianca_Guidetti_Serra,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Gigliola_Lo_Cascio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Natia_Mammone,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Raffaella_Mariani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Viviana_Beccalossi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Maria_Laura_Paxia,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
Vita_Martinciglio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
Roberta_Alaimo,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
Elisa_Tripodi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
Mara_Lapia,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
Marialucia_Lorefice,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
Vittoria_Casa,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
Maria_Marzana,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
Mirella_Emiliozzi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
Patrizia_Terzoni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
Simona_Suriano,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
Giulia_Grillo,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
Piera_Aiello,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
Maria_Maddalena_Rossi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
Maria_Maddalena_Rossi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
Maria_Maddalena_Rossi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
Emanuela_Savio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
Emanuela_Savio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
Emanuela_Savio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
Emanuela_Savio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05
Vittoria_Titomanlio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
Vittoria_Titomanlio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
Vittoria_Titomanlio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
Vittoria_Titomanlio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
Gigliola_Valandro,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
Gigliola_Valandro,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
Stella_Vecchio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
Luciana_Viviani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
Luciana_Viviani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
Luciana_Viviani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
Luciana_Viviani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
Dolores_Abbiati,http://dati.camera.it/ocd/legislatura.rdf/repubblica_06
Dolores_Abbiati,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Carla_Capponi_Bentivegna,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
Carla_Capponi_Bentivegna,http://dati.camera.it/ocd/legislatura.rdf/repubblica_06
Maria_Jervolino,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
Maria_Jervolino,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
Maria_Jervolino,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
Carmen_Casapieri,http://dati.camera.it/ocd/legislatura.rdf/repubblica_06
Carmen_Casapieri,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Maria_Luisa_Cassanmagnago,http://dati.camera.it/ocd/legislatura.rdf/repubblica_06
Maria_Luisa_Cassanmagnago,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Maria_Immacolata_Barbarossa,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Maria_Immacolata_Barbarossa,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
Ivana_Bernini_Lavezzo,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Eletta_Bertani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Eletta_Bertani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
Romana_Bianchi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Romana_Bianchi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
Romana_Bianchi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09
Emma_Bonino,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Emma_Bonino,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
Emma_Bonino,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09
Giovanna_Bosi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Giovanna_Bosi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
Giovanna_Bosi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09
Angela_Maria_Bottari,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Angela_Maria_Bottari,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
Angela_Maria_Bottari,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09
Rosanna_Branciforti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Rosanna_Branciforti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
Maria_Luigia_Buro,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Maria_Teresa_Carloni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Maria_Teresa_Carloni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
Amelia_Casadei,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Luciana_Castellina,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Luciana_Castellina,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
Luciana_Castellina,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09
Paola_Cavigliasso,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Paola_Cavigliasso,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
Paola_Cavigliasso,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09
Maria_Cocco,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Maria_Cocco,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
Maria_Cocco,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09
Giancarla_Codrignani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Giancarla_Codrignani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
Giancarla_Codrignani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09
Cristina_Conchiglia,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Cristina_Conchiglia,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
Giannina_Cattaneo,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
Giannina_Cattaneo,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05
Giannina_Cattaneo,http://dati.camera.it/ocd/legislatura.rdf/repubblica_06
Nadia_Corradi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Nadia_Corradi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
Adele_Faccio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Adele_Faccio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
Angela_Giovagnoli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
Angela_Giovagnoli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
